client_id,account_number,num_trades,total_volume,partner_id,bank_id,bank_name,entity_name,is_in_fraud_ring
C_000046,8001E6840,1,15526.31,P_0075,1,Arbor Savings Bank,Sole Proprietorship #196,True
C_000047,800202F00,1,10.35,P_0126,12,National Bank of the East,Corporation #24607,True
C_000048,800205030,1,11896790.65,P_0127,12,National Bank of the East,Corporation #20140,True
C_000049,80020C2A0,1,10495.13,P_0033,22,Germany Bank #65,Partnership #13766,True
C_000050,800246FC0,1,15524.16,P_0127,20,China Bank #6,Corporation #20162,True
C_000051,80027A2B0,1,4411.66,P_0075,23,Germany Bank #18,Corporation #4739,True
C_000052,80027BDE0,1,16902.4,P_0126,11,Finland Bank #0,Partnership #2370,True
C_000053,800283B60,1,4852.08,P_0126,20,China Bank #6,Partnership #39985,True
C_000054,800283B60,1,1869.72,P_0127,20,China Bank #6,Partnership #39985,True
C_000055,800289C70,1,1964.95,P_0126,11,Finland Bank #0,Sole Proprietorship #41910,True
C_000056,80028E6D0,1,13764.67,P_0110,11,Finland Bank #0,Sole Proprietorship #22276,True
C_000057,800296B10,3,623399.7,P_0182,1490,Italy Bank #95,Partnership #23314,False
C_000058,80029E4F0,1,746.53,P_0082,1490,Italy Bank #95,Sole Proprietorship #27039,True
C_000059,8002B5EE0,1,11558.68,P_0183,220,National Bank of Pittsburgh,Sole Proprietorship #569,True
C_000060,8002B5EE0,1,18102.93,P_0039,220,National Bank of Pittsburgh,Sole Proprietorship #569,True
C_000061,8002CB9E0,1,364444.39,P_0152,10,National Bank of Laramie,Sole Proprietorship #1386,True
C_000062,8002D1950,1,282879.12,P_0152,1490,Italy Bank #95,Sole Proprietorship #41943,True
C_000063,8002DA960,1,1947.17,P_0075,20,China Bank #6,Sole Proprietorship #22300,True
C_000064,8002E4450,1,255298.16,P_0152,1502,Portugal Bank #43,Sole Proprietorship #14798,True
C_000065,8002E9D40,1,11499.25,P_0040,410,Germany Bank #126,Sole Proprietorship #22262,True
C_000066,80031A110,1,3992.11,P_0161,11,Finland Bank #0,Partnership #49238,True
C_000067,800328300,1,2014.63,P_0130,1,Arbor Savings Bank,Partnership #2494,False
C_000068,8003286C0,1,1638.94,P_0130,1601,Acme Cooperative Bank,Partnership #236,False
C_000069,8003286C0,1,2552.3,P_0038,1601,Acme Cooperative Bank,Partnership #236,False
C_000070,80032D090,1,1548.02,P_0130,513,National Bank of New Orleans,Sole Proprietorship #366,False
C_000071,80033AD80,1,413732.16,P_0152,1601,Acme Cooperative Bank,Corporation #278,True
C_000072,800340470,1,1671193.57,P_0090,1,Arbor Savings Bank,Sole Proprietorship #513,True
C_000073,8003467C0,1,889.6,P_0038,1292,Savings Bank of Seattle,Partnership #416,False
C_000074,800348720,1,3800.15,P_0038,513,National Bank of New Orleans,Partnership #3626,False
C_000075,800348990,1,896.48,P_0130,513,National Bank of New Orleans,Sole Proprietorship #6410,False
C_000076,800348990,1,4080.9,P_0038,513,National Bank of New Orleans,Sole Proprietorship #6410,False
C_000077,80034B060,1,2805.11,P_0130,1,Arbor Savings Bank,Partnership #419,False
C_000078,80034B060,1,351.09,P_0038,1,Arbor Savings Bank,Partnership #419,False
C_000079,80034E600,1,3615.79,P_0130,1588,National Bank of Boston,Partnership #433,False
C_000080,80034E740,1,3057.2,P_0130,1467,Plandor Trust Bank,Sole Proprietorship #2079,False
C_000081,80034F370,1,2791.35,P_0130,1292,Savings Bank of Seattle,Corporation #305,False
C_000082,800388790,1,876.95,P_0038,513,National Bank of New Orleans,Partnership #11621,False
C_000083,800389010,1,800.82,P_0038,1420,Golden Bancorp,Sole Proprietorship #374,True
C_000084,800389010,1,6526.22,P_0082,1420,Golden Bancorp,Sole Proprietorship #374,True
C_000085,800389100,1,4319.92,P_0130,1,Arbor Savings Bank,Partnership #425,False
C_000086,800392BC0,1,2240.24,P_0130,513,National Bank of New Orleans,Partnership #12089,False
C_000087,800392CB0,1,423.18,P_0130,1,Arbor Savings Bank,Corporation #310,False
C_000088,800392D50,1,3833.17,P_0038,1362,Golden Bancorp,Partnership #429,False
C_000089,800392EE0,1,2366.81,P_0130,1588,National Bank of Boston,Partnership #430,False
C_000090,800392EE0,1,2514.14,P_0038,1588,National Bank of Boston,Partnership #430,False
C_000091,800393E30,1,69.94,P_0130,1362,Golden Bancorp,Sole Proprietorship #11481,False
C_000092,8003A4750,1,304498.97,P_0152,1,Arbor Savings Bank,Sole Proprietorship #39846,True
C_000093,8003AA6D0,1,280.84,P_0075,410,Germany Bank #126,Sole Proprietorship #22632,True
C_000094,8003AA6D0,1,14614.89,P_0126,410,Germany Bank #126,Sole Proprietorship #22632,True
C_000095,8003B8230,1,23243.75,P_0198,1674,Savings Bank of Topeka,Partnership #47013,True
C_000096,8003E5BD0,1,19952.97,P_0045,1674,Savings Bank of Topeka,Partnership #503,True
C_000097,8003E7740,1,11474.13,P_0041,10,National Bank of Laramie,Sole Proprietorship #446,True
C_000098,8003ED970,1,4996.37,P_0082,1292,Savings Bank of Seattle,Sole Proprietorship #19206,True
C_000099,800410C30,1,3661.27,P_0057,1362,Golden Bancorp,Sole Proprietorship #40924,True
C_000100,80042AC60,1,13610.41,P_0198,1588,National Bank of Boston,Corporation #409,True
C_000101,80044A080,2,793.24,P_0198,1601,Acme Cooperative Bank,Sole Proprietorship #6627,False
C_000102,80044A5D0,1,18030.25,P_0040,1,Arbor Savings Bank,Partnership #53152,True
C_000103,80044E450,1,22837.17,P_0198,1,Arbor Savings Bank,Sole Proprietorship #39524,True
C_000104,800456A50,2,254.34,P_0067,1665,Savings Bank of Los Angeles,Sole Proprietorship #34361,False
C_000105,800459750,1,13313.45,P_0009,1,Arbor Savings Bank,Corporation #429,True
C_000106,80045FE30,1,11508.67,P_0033,1420,Golden Bancorp,Sole Proprietorship #562,True
C_000107,80046B350,1,225894.08,P_0152,1,Arbor Savings Bank,Sole Proprietorship #2807,True
C_000108,8004723C0,1,16237.76,P_0082,1674,Savings Bank of Topeka,Sole Proprietorship #38896,True
C_000109,800473820,1,11996.2,P_0141,1292,Savings Bank of Seattle,Corporation #47699,True
C_000110,800473C40,1,299842.45,P_0152,1688,Arbor Thrift,Corporation #11663,True
C_000111,8004825B0,1,6583.35,P_0088,1292,Savings Bank of Seattle,Sole Proprietorship #611,True
C_000112,80049A310,1,11773.92,P_0064,10,National Bank of Laramie,Corporation #506,True
C_000113,8004C1720,4,2706.3700000000003,P_0198,1,Arbor Savings Bank,Sole Proprietorship #649,False
C_000114,800526550,1,230001.33,P_0152,1547,Italy Bank #49,Sole Proprietorship #38953,True
C_000115,800528290,1,10655.79,P_0126,12,National Bank of the East,Corporation #20080,True
C_000116,80052C600,2,329.9,P_0182,2915,France Bank #85,Sole Proprietorship #22382,False
C_000117,80053C0B0,1,7887.11,P_0082,1362,Golden Bancorp,Sole Proprietorship #747,True
C_000118,800544890,1,545.37,P_0040,1522,Spain Bank #23,Corporation #20285,False
C_000119,80054A7C0,1,6348.74,P_0043,1,Arbor Savings Bank,Sole Proprietorship #7674,True
C_000120,800550B60,1,15700.82,P_0033,12,National Bank of the East,Partnership #23409,True
C_000121,80055F090,1,19533.96,P_0198,1522,Spain Bank #23,Corporation #20289,True
C_000122,80056CE80,1,16399.75,P_0114,1490,Italy Bank #95,Sole Proprietorship #22373,True
C_000123,800579A40,1,134.5,P_0155,3678,National Bank of Indianapolis,Partnership #38696,False
C_000124,80059A750,1,7688.97,P_0082,12,National Bank of the East,Sole Proprietorship #824,True
C_000125,8005A64B0,1,5553.65,P_0075,795,First Bank of Montpelier,Partnership #896,True
C_000126,8005BD570,1,196.38,P_0033,1292,Savings Bank of Seattle,Partnership #926,True
C_000127,8005C1970,1,2258.9,P_0075,908,Plandor Savings Bank,Partnership #7228,True
C_000128,8005D13F0,1,2093011.52,P_0064,1665,Savings Bank of Los Angeles,Partnership #8162,False
C_000129,800619700,1,11687.84,P_0082,701,First Bank of Springfield,Partnership #10163,True
C_000130,80061BB00,1,12285.54,P_0007,1292,Savings Bank of Seattle,Sole Proprietorship #14388,True
C_000131,80062C960,1,15264.6,P_0198,1420,Golden Bancorp,Corporation #54398,True
C_000132,80063CFF0,2,41516.84,P_0036,1522,Spain Bank #23,Sole Proprietorship #28010,False
C_000133,8006457A0,1,3617.9,P_0057,701,First Bank of Springfield,Partnership #1980,False
C_000134,8006A4A30,1,122502.72,P_0075,1665,Savings Bank of Los Angeles,Sole Proprietorship #3353,True
C_000135,8006A6CF0,1,15214.2,P_0009,1674,Savings Bank of Topeka,Partnership #1120,True
C_000136,8006BF850,1,144542.15,P_0152,1024,France Bank #51,Sole Proprietorship #22402,True
C_000137,8006D7690,1,12732.58,P_0198,1292,Savings Bank of Seattle,Partnership #1157,True
C_000138,8006FA4B0,1,692.25,P_0145,1,Arbor Savings Bank,Corporation #851,True
C_000139,80070AA30,1,18927.02,P_0134,22,Germany Bank #65,Sole Proprietorship #22407,True
C_000140,80071C080,1,13188.16,P_0010,10,National Bank of Laramie,Sole Proprietorship #7887,True
C_000141,8007354D0,1,3356.48,P_0064,513,National Bank of New Orleans,Partnership #11938,True
C_000142,800750120,1,27949.92,P_0044,10,National Bank of Laramie,Corporation #5542,True
C_000143,80079AE10,1,8335.39,P_0082,20,China Bank #6,Corporation #9086,True
C_000144,80079B220,1,19216.44,P_0055,20,China Bank #6,Sole Proprietorship #29351,False
C_000145,80079FA80,1,21888.18,P_0055,3,China Bank #14,Sole Proprietorship #29291,False
C_000146,8007A1C40,1,12337.28,P_0040,14,China Bank #13,Corporation #28221,True
C_000147,8007C1440,1,253885.35,P_0152,3,China Bank #14,Sole Proprietorship #29293,True
C_000148,8007C2A40,1,43.32,P_0055,14,China Bank #13,Partnership #30760,False
C_000149,8007C31A0,1,19487.5,P_0055,3,China Bank #14,Sole Proprietorship #29296,False
C_000150,8007C6170,1,30966.26,P_0055,21381,China Bank #30,Partnership #22504,False
C_000151,8007C6E70,1,15191.02,P_0055,14,China Bank #13,Corporation #28901,False
C_000152,8007C7750,1,9759.81,P_0055,4,China Bank #3,Partnership #30394,False
C_000153,8007EF950,1,20538.8,P_0045,23,Germany Bank #18,Partnership #23456,True
C_000154,8007F79F0,1,13468.05,P_0075,11,Finland Bank #0,Sole Proprietorship #22421,True
C_000155,80081F5E0,1,6357.09,P_0082,11318,First Bank of Arkadelphia,Sole Proprietorship #15125,True
C_000156,80082C6C0,1,7574.17,P_0040,1688,Arbor Thrift,Sole Proprietorship #150,True
C_000157,800836F80,1,3955.25,P_0019,11318,First Bank of Arkadelphia,Partnership #1384,True
C_000158,80087EA60,1,1796.77,P_0033,220,National Bank of Pittsburgh,Corporation #1085,True
C_000159,80088E940,1,15109.75,P_0149,21258,Brownstone Trust Bank,Partnership #13354,True
C_000160,800893E40,1,445.49,P_0056,3204,Spain Bank #437,Corporation #40461,False
C_000161,8008B1F80,1,16426.4,P_0082,1490,Italy Bank #95,Partnership #11661,True
C_000162,8008B29B0,1,4971.01,P_0033,21387,Greece Bank #77,Sole Proprietorship #42869,True
C_000163,800906D70,1,2423.83,P_0082,1674,Savings Bank of Topeka,Sole Proprietorship #21961,True
C_000164,80090C740,1,818.33,P_0056,3605,Germany Bank #366,Partnership #46252,False
C_000165,800924840,2,9435.730000000001,P_0106,11,Finland Bank #0,Partnership #2370,True
C_000166,800934020,1,3226.58,P_0163,11157,Savings Bank of Miami,Corporation #1206,False
C_000167,800937C90,1,2783.66,P_0163,1047,Flagstone Federal Bank,Corporation #6438,False
C_000168,800938D10,1,2227.63,P_0163,701,First Bank of Springfield,Sole Proprietorship #10549,False
C_000169,800938DB0,1,1140.23,P_0163,11318,First Bank of Arkadelphia,Partnership #1591,False
C_000170,80093B290,1,11335.43,P_0040,2843,Sappo Bancorp,Partnership #47765,True
C_000171,80093F2B0,1,1250.45,P_0163,1,Arbor Savings Bank,Partnership #1583,False
C_000172,80093F7B0,1,479.46,P_0163,1292,Savings Bank of Seattle,Sole Proprietorship #2371,False
C_000173,800949570,1,7528.06,P_0082,11318,First Bank of Arkadelphia,Partnership #1564,True
C_000174,800954070,1,1637.39,P_0163,1,Arbor Savings Bank,Partnership #1587,False
C_000175,800958F00,1,890.83,P_0163,1412,First Bank of Indianapolis,Partnership #22221,False
C_000176,8009636A0,1,2660.17,P_0198,11,Finland Bank #0,Partnership #23498,True
C_000177,8009ABF50,1,8132.58,P_0082,1502,Portugal Bank #43,Corporation #20251,True
C_000178,8009C77C0,1,16968.98,P_0064,1522,Spain Bank #23,Sole Proprietorship #22519,True
C_000179,8009E34E0,1,9319.23,P_0082,1547,Italy Bank #49,Corporation #20477,True
C_000180,8009F1D10,1,11139.31,P_0074,1124,First Bank of Plattsburg,Sole Proprietorship #38528,True
C_000181,8009FD120,1,261675.02,P_0075,1502,Portugal Bank #43,Sole Proprietorship #22373,True
C_000182,800A180A0,1,161.35,P_0127,1490,Italy Bank #95,Sole Proprietorship #26660,True
C_000183,800A483E0,1,15140.2,P_0154,1024,France Bank #51,Partnership #23582,True
C_000184,800A56540,1,1959.02,P_0066,1412,First Bank of Indianapolis,Sole Proprietorship #43537,False
C_000185,800A8E530,1,15973.12,P_0141,701,First Bank of Springfield,Sole Proprietorship #1613,True
C_000186,800AB4E80,1,19101.6,P_0092,1729,Willows Bancorp,Sole Proprietorship #1631,True
C_000187,800AE9480,1,5680.78,P_0002,1501,Germany Bank #239,Partnership #24894,True
C_000188,800B047D0,1,1256081.74,P_0029,1,Arbor Savings Bank,Sole Proprietorship #6900,True
C_000189,800B68E00,1,12598.44,P_0064,21749,Spain Bank #9,Corporation #27645,True
C_000190,800B7DA00,1,13267.86,P_0033,11852,Netherlands Bank #4,Corporation #20581,True
C_000191,800BCF3C0,1,97.07,P_0155,31937,Bank of Harrisburg,Sole Proprietorship #17429,False
C_000192,800BFC300,1,185.75,P_0155,3711,National Bank of Portland,Partnership #10791,False
C_000193,800C67560,1,94818.73,P_0106,11657,Italy Bank #73,Corporation #24603,True
C_000194,800CD0BC0,2,101.78,P_0057,11405,Savings Bank of Dallas,Partnership #2078,False
C_000195,800D25490,1,250.5,P_0155,31457,Bank of Lincoln,Partnership #21127,False
C_000196,800D59B70,1,95.53,P_0056,31650,Spain Bank #3932,Sole Proprietorship #54924,False
C_000197,800D78EB0,1,19882.22,P_0007,11657,Italy Bank #73,Corporation #38373,True
C_000198,800D7BCD0,1,94.98,P_0155,32342,Brook Credit Union,Corporation #5496,False
C_000199,800D7DDB0,1,116940.46,P_0044,11657,Italy Bank #73,Corporation #20251,True
C_000200,800DF38E0,1,221.39,P_0155,3475,Sea Community Bank,Corporation #1366,False
C_000201,800E2BB90,1,1048.56,P_0155,31786,National Bank of Chicago,Partnership #2298,False
C_000202,800E9F0B0,2,531.12,P_0083,10,National Bank of Laramie,Partnership #44616,True
C_000203,800EF3D90,1,1363.79,P_0064,22164,Spruce Cooperative Bank,Partnership #4847,False
C_000204,800EF7C00,1,8989.95,P_0033,11657,Italy Bank #73,Corporation #20654,True
C_000205,800EFDCD0,1,9233.71,P_0106,11852,Netherlands Bank #4,Sole Proprietorship #48804,True
C_000206,800F113C0,1,52.28,P_0056,3582,Italy Bank #3941,Corporation #46966,False
C_000207,800F24BE0,1,16389.14,P_0009,1665,Savings Bank of Los Angeles,Partnership #2370,True
C_000208,800F31270,1,10753.63,P_0040,1665,Savings Bank of Los Angeles,Sole Proprietorship #4683,True
C_000209,800F57D60,1,5959.02,P_0033,513,National Bank of New Orleans,Partnership #54839,True
C_000210,800FC0970,2,293.22,P_0019,12381,Bank of the East,Partnership #17497,False
C_000211,800FD3C70,1,434.26,P_0056,31997,Spain Bank #4213,Corporation #26545,False
C_000212,800FFB620,1,302.53,P_0155,31047,Desert Savings Bank,Partnership #19552,False
C_000213,80101BF40,1,1701.0,P_0144,1501,Germany Bank #239,Corporation #20736,False
C_000214,80101EA40,1,206.56,P_0144,1665,Savings Bank of Los Angeles,Corporation #20370,False
C_000215,80101F760,1,3973.65,P_0144,23,Germany Bank #18,Corporation #54975,False
C_000216,8010224C0,1,2542.58,P_0144,22775,Austria Bank #90,Corporation #20407,False
C_000217,8010237A0,1,3036.29,P_0144,21831,Germany Bank #179,Partnership #26512,False
C_000218,801027BB0,1,2374.63,P_0144,22,Germany Bank #65,Corporation #20703,False
C_000219,80102A1F0,1,1429120.17,P_0029,20,China Bank #6,Corporation #20404,True
C_000220,80102BBA0,1,2619.38,P_0144,2915,France Bank #85,Sole Proprietorship #13857,False
C_000221,80104ABA0,1,6741.71,P_0161,22828,Bank of Chicago,Partnership #2661,True
C_000222,80104B3D0,1,5069.55,P_0088,1467,Plandor Trust Bank,Partnership #2660,True
C_000223,801059EF0,1,24118497.25,P_0002,12004,Italy Bank #53,Sole Proprietorship #29206,True
C_000224,801079B80,1,17480.18,P_0074,11852,Netherlands Bank #4,Sole Proprietorship #3506,True
C_000225,8010BAAC0,1,10060.0,P_0138,2627,Mountain Trust Bank,Corporation #2112,True
C_000226,8010D4440,1,6942.71,P_0110,12,National Bank of the East,Sole Proprietorship #3911,True
C_000227,8010D6C80,1,4352.24,P_0141,11157,Savings Bank of Miami,Partnership #2725,True
C_000228,8010F4680,1,14246.13,P_0041,1522,Spain Bank #23,Partnership #23807,True
C_000229,8010FD8B0,1,6309.44,P_0043,1665,Savings Bank of Los Angeles,Sole Proprietorship #22901,True
C_000230,80111F0D0,2,1371.56,P_0011,12719,Bank of New Orleans,Sole Proprietorship #4804,False
C_000231,80112FAD0,1,584.53,P_0020,1420,Golden Bancorp,Partnership #38558,False
C_000232,801139C30,1,4787.29,P_0041,1601,Acme Cooperative Bank,Corporation #2123,True
C_000233,80113DA30,1,1929.85,P_0054,2845,Sea Bank,Corporation #8570,False
C_000234,80114E950,1,3951.84,P_0054,1588,National Bank of Boston,Partnership #592,False
C_000235,801150FC0,1,212.56,P_0054,1244,Bank of Arkadelphia,Sole Proprietorship #2694,False
C_000236,801151150,1,3597.59,P_0054,12719,Bank of New Orleans,Corporation #39861,False
C_000237,8011514B0,1,2757.21,P_0054,1292,Savings Bank of Seattle,Sole Proprietorship #1009,False
C_000238,8011518B0,1,4773.3,P_0054,1411,Bank of the South,Sole Proprietorship #2693,False
C_000239,801151950,1,953.51,P_0054,1601,Acme Cooperative Bank,Partnership #6834,False
C_000240,801218970,1,17734.24,P_0019,13057,France Bank #35,Corporation #39351,True
C_000241,801228520,1,14777.72,P_0110,1241,Flagstone Bancorp,Corporation #2314,True
C_000242,8012525C0,1,6935.42,P_0199,1,Arbor Savings Bank,Sole Proprietorship #2883,True
C_000243,801253D80,1,15081.26,P_0134,11405,Savings Bank of Dallas,Partnership #4239,True
C_000244,80128F040,1,241.61,P_0155,3396,National Bank of the East,Partnership #19423,False
C_000245,8012E62B0,1,13315.35,P_0173,3051,Acme Community Bank,Partnership #39484,True
C_000246,80131B6F0,1,1156.22,P_0137,1,Arbor Savings Bank,Corporation #2491,False
C_000247,80131B790,1,4957.96,P_0137,11813,Savings Bank of Fairfield,Sole Proprietorship #3054,False
C_000248,8013250D0,1,994.2,P_0137,2824,Future Cooperative Bank,Corporation #6743,False
C_000249,801325340,1,853.22,P_0137,2947,Savings Bank of Butte,Partnership #3161,False
C_000250,801338D50,1,3161.45,P_0137,2843,Sappo Bancorp,Sole Proprietorship #3056,False
C_000251,80133B640,1,2408.93,P_0137,11904,Bank of Billings,Partnership #3163,False
C_000252,8013431C0,1,3610.73,P_0137,22828,Bank of Chicago,Sole Proprietorship #3059,False
C_000253,801348970,1,3202.21,P_0057,1522,Spain Bank #23,Partnership #23882,True
C_000254,801396710,1,14175.03,P_0092,10,National Bank of Laramie,Sole Proprietorship #4417,True
C_000255,8013C5D60,1,387.73,P_0056,3582,Italy Bank #3941,Corporation #53809,False
C_000256,80145D1D0,1,20898.98,P_0009,3149,Acme Federal Bank,Sole Proprietorship #3216,True
C_000257,8014621B0,1,13916.8,P_0182,22164,Spruce Cooperative Bank,Partnership #112,True
C_000258,801479230,1,4663.0,P_0041,11657,Italy Bank #73,Partnership #28849,True
C_000259,801485510,1,11229.81,P_0033,1729,Willows Bancorp,Partnership #727,True
C_000260,8014CBA10,1,14926.35,P_0033,11471,Willows Community Bank,Partnership #45915,True
C_000261,8014FCAF0,1,19586.46,P_0199,1686,Brownstone Credit Union,Corporation #2671,True
C_000262,801505B60,1,3616.13,P_0056,31676,Italy Bank #316,Corporation #26555,False
C_000263,801514330,1,350.09,P_0056,32616,Slovakia Bank #3113,Partnership #25509,False
C_000264,80154AAF0,2,5083.7,P_0033,21749,Spain Bank #9,Partnership #23675,True
C_000265,80154ABE0,2,880.3,P_0174,12513,Germany Bank #74,Sole Proprietorship #13857,False
C_000266,801564480,1,11136.67,P_0010,13057,France Bank #35,Partnership #29014,True
C_000267,80156DE70,1,16530.28,P_0083,3149,Acme Federal Bank,Partnership #3433,True
C_000268,80157E940,1,18932676.59,P_0117,11056,Germany Bank #214,Sole Proprietorship #23433,True
C_000269,8015A53B0,1,3841.03,P_0174,12513,Germany Bank #74,Corporation #20520,False
C_000270,8015AB5D0,1,1055.18,P_0174,12513,Germany Bank #74,Sole Proprietorship #22481,False
C_000271,8015ADA70,1,4089.11,P_0174,22806,Germany Bank #160,Sole Proprietorship #22394,False
C_000272,8015AE210,1,2199.63,P_0174,23691,Spain Bank #81,Partnership #23927,False
C_000273,8015AED00,1,2259.94,P_0174,21387,Greece Bank #77,Corporation #20404,False
C_000274,8015AED50,1,3638.18,P_0174,2591,France Bank #75,Partnership #25293,False
C_000275,801656500,1,135.48,P_0155,33793,Savings Bank of Chicago,Partnership #7042,False
C_000276,8016A8DE0,1,4623.06,P_0141,11471,Willows Community Bank,Sole Proprietorship #45607,True
C_000277,8016AF890,1,14338.93,P_0134,12963,Belgium Bank #79,Sole Proprietorship #23009,True
C_000278,8016EFD70,1,5500.55,P_0009,2454,Spruce Community Bank,Partnership #3589,True
C_000279,801703570,1,9402.67,P_0104,1688,Arbor Thrift,Partnership #3676,True
C_000280,80171D7A0,1,77.13,P_0105,2843,Sappo Bancorp,Sole Proprietorship #3535,False
C_000281,80171EF50,1,234.58,P_0105,11471,Willows Community Bank,Sole Proprietorship #6771,False
C_000282,8017213C0,1,132.34,P_0105,22736,Plandor Savings Bank,Partnership #3727,False
C_000283,80172BC60,1,292.06,P_0105,13037,First Bank of Hartford,Sole Proprietorship #3542,False
C_000284,80172BDF0,1,4861.87,P_0105,2439,Savings Bank of Huron,Corporation #2887,False
C_000285,80172C960,1,993.05,P_0105,1457,National Bank of Helena,Sole Proprietorship #3544,False
C_000286,80172FD70,1,3417.72,P_0105,21611,The Pine Thrift,Partnership #7008,False
C_000287,801736690,1,98.68,P_0155,31542,First Bank of the East,Sole Proprietorship #19742,False
C_000288,801798880,1,11659.57,P_0145,3420,Savings Bank of Huron,Corporation #2943,True
C_000289,8017A4900,1,1806.7,P_0155,31373,National Bank of Dallas,Corporation #14645,False
C_000290,8017F7FF0,1,15093.58,P_0145,22164,Spruce Cooperative Bank,Partnership #3892,True
C_000291,8018031B0,1,3357.96,P_0160,14099,Willows Thrift,Partnership #43162,True
C_000292,801812250,1,6752.14,P_0129,12,National Bank of the East,Corporation #20567,True
C_000293,801820540,1,9511.58,P_0041,13858,Italy Bank #97,Partnership #28343,True
C_000294,801847600,1,18923.45,P_0040,1420,Golden Bancorp,Corporation #3015,True
C_000295,801856350,1,19370.62,P_0007,1588,National Bank of Boston,Sole Proprietorship #3738,True
C_000296,8018859B0,2,14161.39,P_0190,23833,Arbor Federal Bank,Individual #8,False
