account_id,role,account_number,bank_name,entity_name,is_fraudulent
P_0141,PARTNER,801A655B0,Plandor Savings Bank,Sole Proprietorship #6044,True
P_0142,PARTNER,813AD3CA0,Bank of Billings,Sole Proprietorship #20060,False
P_0143,PARTNER,80352D880,Baltech Thrift,Corporation #2318,False
P_0144,PARTNER,80101E060,Italy Bank #73,Corporation #20566,False
P_0145,PARTNER,808E44B10,UK Bank #29,Sole Proprietorship #6319,True
P_0146,PARTNER,80BDC5A50,Bank of Huron,Sole Proprietorship #15280,False
P_0147,PARTNER,80F47A310,Switzerland Bank #17,Corporation #34854,False
P_0148,PARTNER,804282480,Acme Community Bank,Sole Proprietorship #7861,True
P_0149,PARTNER,80F454910,Switzerland Bank #50,Sole Proprietorship #5550,True
P_0150,PARTNER,804A5C9D0,Belgium Bank #87,Sole Proprietorship #24567,False
P_0151,PARTNER,801B97810,France Bank #8,Sole Proprietorship #22440,False
P_0152,PARTNER,8000B8AB0,Australia Bank #0,Partnership #3310,True
P_0153,PARTNER,811588F30,Israel Bank #46,Corporation #36255,False
P_0154,PARTNER,80C6F48A0,Sappo Bank,Partnership #45448,True
P_0155,PARTNER,100428660,Oasis Thrift,Sole Proprietorship #41,False
P_0156,PARTNER,801DB2560,Bank of New Orleans,Sole Proprietorship #4036,False
P_0157,PARTNER,80AA9A690,UK Bank #20,Corporation #32978,False
P_0158,PARTNER,8042A5980,Sea Bank,Partnership #262,False
P_0159,PARTNER,809DACA80,Canada Bank #51,Corporation #12942,True
P_0160,PARTNER,80F219920,Switzerland Bank #10,Sole Proprietorship #346,True
P_0161,PARTNER,80AE68D00,Savings Bank of Seattle,Partnership #15208,True
P_0162,PARTNER,80F49D900,Switzerland Bank #1,Partnership #37691,False
P_0163,PARTNER,8009541B0,First Bank of Montpelier,Sole Proprietorship #9166,False
P_0164,PARTNER,80678A430,Bank of Providence,Partnership #11023,False
P_0165,PARTNER,100428780,Oasis Thrift,Sole Proprietorship #31648,False
P_0166,PARTNER,100428978,Oasis Thrift,Sole Proprietorship #36613,False
P_0167,PARTNER,80B6DC2A0,First Bank of Augusta,Sole Proprietorship #4664,False
P_0168,PARTNER,100428738,Oasis Thrift,Corporation #29514,False
P_0169,PARTNER,8028F8670,Bank of Hartford,Sole Proprietorship #5572,False
P_0170,PARTNER,8053B01E0,India Bank #36,Sole Proprietorship #32259,True
P_0171,PARTNER,811D80C30,Saudi Arabia Bank #5,Corporation #14622,True
P_0172,PARTNER,81273DE50,France Bank #47,Corporation #24627,False
P_0173,PARTNER,80F390FC0,Switzerland Bank #80,Corporation #34854,True
P_0174,PARTNER,8015AC8C0,Netherlands Bank #4,Corporation #20597,False
P_0175,PARTNER,806EC91C0,Russia Bank #13,Partnership #33830,False
P_0176,PARTNER,80220E1C0,Savings Bank of Indianapolis,Sole Proprietorship #4767,False
P_0177,PARTNER,8079C0A30,France Bank #658,Partnership #25474,True
P_0178,PARTNER,811ED7DF0,Saudi Arabia Bank #18,Partnership #38433,True
P_0179,PARTNER,80F80A060,Switzerland Bank #170,Sole Proprietorship #36871,False
P_0180,PARTNER,811CB9E80,Germany Bank #139,Corporation #20535,False
P_0181,PARTNER,8119A3D80,Greece Bank #616,Corporation #20459,False
P_0182,PARTNER,800E3D880,Germany Bank #214,Partnership #23716,True
P_0183,PARTNER,80C5219E0,Greece Bank #570,Corporation #23972,True
P_0184,PARTNER,809DAEC50,Canada Bank #43,Partnership #36117,False
P_0185,PARTNER,8028F2650,Italy Bank #49,Corporation #47535,True
P_0186,PARTNER,80D0F39E0,Arbor Federal Bank,Partnership #7615,False
P_0187,PARTNER,80337EA20,France Bank #40,Corporation #20950,False
P_0188,PARTNER,80D31BC40,First Bank of Chicago,Sole Proprietorship #11998,False
P_0189,PARTNER,80281EBF0,Germany Bank #553,Corporation #24814,False
P_0190,PARTNER,8018859B0,Arbor Federal Bank,Individual #8,False
P_0191,PARTNER,80874AF30,UK Bank #52,Corporation #32468,False
P_0192,PARTNER,8052C6840,Bank of Boston,Partnership #8226,False
P_0193,PARTNER,81152BF90,Israel Bank #35,Partnership #37705,False
P_0194,PARTNER,801983E70,Savings Bank of Fairfield,Corporation #2545,False
P_0195,PARTNER,812091620,UK Bank #58,Partnership #35557,False
P_0196,PARTNER,8054E5310,India Bank #15,Partnership #33781,False
P_0197,PARTNER,809D4A4B0,Canada Bank #4,Partnership #36051,False
P_0198,PARTNER,80054CAB0,Savings Bank of Los Angeles,Corporation #563,True
P_0199,PARTNER,809CC4600,Canada Bank #63,Corporation #33531,True
P_0200,PARTNER,8147F3F50,Austria Bank #182,Corporation #26603,False
C_000001,CLIENT,100428660,Oasis Thrift,Sole Proprietorship #41,False
C_000002,CLIENT,100428660,Oasis Thrift,Sole Proprietorship #41,False
C_000003,CLIENT,1004286A8,Oasis Thrift,Partnership #2370,False
C_000004,CLIENT,8000485D0,India Bank #25,Sole Proprietorship #29275,True
C_000005,CLIENT,800056160,Arbor Savings Bank,Corporation #16,True
C_000006,CLIENT,800056370,Arbor Savings Bank,Corporation #17,False
C_000007,CLIENT,800060420,China Bank #6,Sole Proprietorship #28683,True
C_000008,CLIENT,800065110,Finland Bank #0,Partnership #23249,True
C_000009,CLIENT,800072EF0,China Bank #3,Sole Proprietorship #43891,True
C_000010,CLIENT,80007A550,Japan Bank #41,Sole Proprietorship #29281,True
C_000011,CLIENT,8000B8AB0,Australia Bank #0,Partnership #3310,True
C_000012,CLIENT,8000C76D0,Switzerland Bank #11,Partnership #2633,True
C_000013,CLIENT,8000D9880,Switzerland Bank #8,Partnership #405,False
C_000014,CLIENT,8000DA7D0,Israel Bank #6,Sole Proprietorship #4286,True
C_000015,CLIENT,8000DB3C0,Israel Bank #6,Sole Proprietorship #40502,True
C_000016,CLIENT,8000DB3C0,Israel Bank #6,Sole Proprietorship #40502,True
C_000017,CLIENT,8000DBF20,Saudi Arabia Bank #4,Corporation #36537,True
C_000018,CLIENT,8000DC420,Israel Bank #6,Sole Proprietorship #3673,False
C_000019,CLIENT,8000E1590,Saudi Arabia Bank #6,Corporation #11758,True
C_000020,CLIENT,8000E1590,Saudi Arabia Bank #6,Corporation #11758,True
C_000021,CLIENT,8000E1590,Saudi Arabia Bank #6,Corporation #11758,True
C_000022,CLIENT,8000E1590,Saudi Arabia Bank #6,Corporation #11758,True
C_000023,CLIENT,8000FE790,Germany Bank #18,Corporation #20126,True
C_000024,CLIENT,8001027C0,Finland Bank #0,Corporation #39343,True
C_000025,CLIENT,800117590,National Bank of the East,Corporation #39,True
C_000026,CLIENT,800118660,National Bank of Pittsburgh,Sole Proprietorship #3693,True
C_000027,CLIENT,800123E90,China Bank #6,Sole Proprietorship #22214,False
C_000028,CLIENT,800124BD0,Germany Bank #18,Partnership #23261,True
C_000029,CLIENT,80012AE10,Finland Bank #0,Corporation #46317,True
C_000030,CLIENT,800137450,National Bank of the East,Partnership #86,True
C_000031,CLIENT,800146310,National Bank of Pittsburgh,Sole Proprietorship #4671,False
C_000032,CLIENT,8001576B0,National Bank of Pittsburgh,Corporation #420,True
C_000033,CLIENT,80015D1B0,National Bank of Laramie,Partnership #6579,True
C_000034,CLIENT,8001694F0,Germany Bank #18,Corporation #40245,True
C_000035,CLIENT,80016E8F0,National Bank of the East,Corporation #38486,True
C_000036,CLIENT,8001882D0,National Bank of Laramie,Sole Proprietorship #134,False
C_000037,CLIENT,800188850,Arbor Savings Bank,Sole Proprietorship #8667,True
C_000038,CLIENT,8001AD4E0,France Bank #129,Sole Proprietorship #8499,False
C_000039,CLIENT,8001AE930,Germany Bank #65,Sole Proprietorship #21628,True
C_000040,CLIENT,8001B7DB0,China Bank #6,Partnership #23602,True
C_000041,CLIENT,8001B8420,National Bank of the East,Corporation #48733,True
C_000042,CLIENT,8001BA930,Arbor Savings Bank,Partnership #4212,True
C_000043,CLIENT,8001C80F0,China Bank #6,Corporation #20131,True
C_000044,CLIENT,8001D5700,National Bank of the East,Corporation #20134,True
C_000045,CLIENT,8001D7610,Germany Bank #18,Partnership #23243,True
C_000046,CLIENT,8001E6840,Arbor Savings Bank,Sole Proprietorship #196,True
C_000047,CLIENT,800202F00,National Bank of the East,Corporation #24607,True
C_000048,CLIENT,800205030,National Bank of the East,Corporation #20140,True
C_000049,CLIENT,80020C2A0,Germany Bank #65,Partnership #13766,True
C_000050,CLIENT,800246FC0,China Bank #6,Corporation #20162,True
C_000051,CLIENT,80027A2B0,Germany Bank #18,Corporation #4739,True
C_000052,CLIENT,80027BDE0,Finland Bank #0,Partnership #2370,True
C_000053,CLIENT,800283B60,China Bank #6,Partnership #39985,True
C_000054,CLIENT,800283B60,China Bank #6,Partnership #39985,True
C_000055,CLIENT,800289C70,Finland Bank #0,Sole Proprietorship #41910,True
C_000056,CLIENT,80028E6D0,Finland Bank #0,Sole Proprietorship #22276,True
C_000057,CLIENT,800296B10,Italy Bank #95,Partnership #23314,False
C_000058,CLIENT,80029E4F0,Italy Bank #95,Sole Proprietorship #27039,True
C_000059,CLIENT,8002B5EE0,National Bank of Pittsburgh,Sole Proprietorship #569,True
C_000060,CLIENT,8002B5EE0,National Bank of Pittsburgh,Sole Proprietorship #569,True
C_000061,CLIENT,8002CB9E0,National Bank of Laramie,Sole Proprietorship #1386,True
C_000062,CLIENT,8002D1950,Italy Bank #95,Sole Proprietorship #41943,True
C_000063,CLIENT,8002DA960,China Bank #6,Sole Proprietorship #22300,True
C_000064,CLIENT,8002E4450,Portugal Bank #43,Sole Proprietorship #14798,True
C_000065,CLIENT,8002E9D40,Germany Bank #126,Sole Proprietorship #22262,True
C_000066,CLIENT,80031A110,Finland Bank #0,Partnership #49238,True
C_000067,CLIENT,800328300,Arbor Savings Bank,Partnership #2494,False
C_000068,CLIENT,8003286C0,Acme Cooperative Bank,Partnership #236,False
C_000069,CLIENT,8003286C0,Acme Cooperative Bank,Partnership #236,False
C_000070,CLIENT,80032D090,National Bank of New Orleans,Sole Proprietorship #366,False
C_000071,CLIENT,80033AD80,Acme Cooperative Bank,Corporation #278,True
C_000072,CLIENT,800340470,Arbor Savings Bank,Sole Proprietorship #513,True
C_000073,CLIENT,8003467C0,Savings Bank of Seattle,Partnership #416,False
C_000074,CLIENT,800348720,National Bank of New Orleans,Partnership #3626,False
C_000075,CLIENT,800348990,National Bank of New Orleans,Sole Proprietorship #6410,False
C_000076,CLIENT,800348990,National Bank of New Orleans,Sole Proprietorship #6410,False
C_000077,CLIENT,80034B060,Arbor Savings Bank,Partnership #419,False
C_000078,CLIENT,80034B060,Arbor Savings Bank,Partnership #419,False
C_000079,CLIENT,80034E600,National Bank of Boston,Partnership #433,False
C_000080,CLIENT,80034E740,Plandor Trust Bank,Sole Proprietorship #2079,False
C_000081,CLIENT,80034F370,Savings Bank of Seattle,Corporation #305,False
C_000082,CLIENT,800388790,National Bank of New Orleans,Partnership #11621,False
C_000083,CLIENT,800389010,Golden Bancorp,Sole Proprietorship #374,True
C_000084,CLIENT,800389010,Golden Bancorp,Sole Proprietorship #374,True
C_000085,CLIENT,800389100,Arbor Savings Bank,Partnership #425,False
C_000086,CLIENT,800392BC0,National Bank of New Orleans,Partnership #12089,False
C_000087,CLIENT,800392CB0,Arbor Savings Bank,Corporation #310,False
C_000088,CLIENT,800392D50,Golden Bancorp,Partnership #429,False
C_000089,CLIENT,800392EE0,National Bank of Boston,Partnership #430,False
C_000090,CLIENT,800392EE0,National Bank of Boston,Partnership #430,False
C_000091,CLIENT,800393E30,Golden Bancorp,Sole Proprietorship #11481,False
C_000092,CLIENT,8003A4750,Arbor Savings Bank,Sole Proprietorship #39846,True
C_000093,CLIENT,8003AA6D0,Germany Bank #126,Sole Proprietorship #22632,True
C_000094,CLIENT,8003AA6D0,Germany Bank #126,Sole Proprietorship #22632,True
C_000095,CLIENT,8003B8230,Savings Bank of Topeka,Partnership #47013,True
C_000096,CLIENT,8003E5BD0,Savings Bank of Topeka,Partnership #503,True
C_000097,CLIENT,8003E7740,National Bank of Laramie,Sole Proprietorship #446,True
C_000098,CLIENT,8003ED970,Savings Bank of Seattle,Sole Proprietorship #19206,True
C_000099,CLIENT,800410C30,Golden Bancorp,Sole Proprietorship #40924,True
C_000100,CLIENT,80042AC60,National Bank of Boston,Corporation #409,True
C_000101,CLIENT,80044A080,Acme Cooperative Bank,Sole Proprietorship #6627,False
C_000102,CLIENT,80044A5D0,Arbor Savings Bank,Partnership #53152,True
C_000103,CLIENT,80044E450,Arbor Savings Bank,Sole Proprietorship #39524,True
C_000104,CLIENT,800456A50,Savings Bank of Los Angeles,Sole Proprietorship #34361,False
C_000105,CLIENT,800459750,Arbor Savings Bank,Corporation #429,True
C_000106,CLIENT,80045FE30,Golden Bancorp,Sole Proprietorship #562,True
C_000107,CLIENT,80046B350,Arbor Savings Bank,Sole Proprietorship #2807,True
C_000108,CLIENT,8004723C0,Savings Bank of Topeka,Sole Proprietorship #38896,True
C_000109,CLIENT,800473820,Savings Bank of Seattle,Corporation #47699,True
C_000110,CLIENT,800473C40,Arbor Thrift,Corporation #11663,True
C_000111,CLIENT,8004825B0,Savings Bank of Seattle,Sole Proprietorship #611,True
C_000112,CLIENT,80049A310,National Bank of Laramie,Corporation #506,True
C_000113,CLIENT,8004C1720,Arbor Savings Bank,Sole Proprietorship #649,False
C_000114,CLIENT,800526550,Italy Bank #49,Sole Proprietorship #38953,True
C_000115,CLIENT,800528290,National Bank of the East,Corporation #20080,True
C_000116,CLIENT,80052C600,France Bank #85,Sole Proprietorship #22382,False
C_000117,CLIENT,80053C0B0,Golden Bancorp,Sole Proprietorship #747,True
C_000118,CLIENT,800544890,Spain Bank #23,Corporation #20285,False
C_000119,CLIENT,80054A7C0,Arbor Savings Bank,Sole Proprietorship #7674,True
C_000120,CLIENT,800550B60,National Bank of the East,Partnership #23409,True
C_000121,CLIENT,80055F090,Spain Bank #23,Corporation #20289,True
C_000122,CLIENT,80056CE80,Italy Bank #95,Sole Proprietorship #22373,True
C_000123,CLIENT,800579A40,National Bank of Indianapolis,Partnership #38696,False
C_000124,CLIENT,80059A750,National Bank of the East,Sole Proprietorship #824,True
C_000125,CLIENT,8005A64B0,First Bank of Montpelier,Partnership #896,True
C_000126,CLIENT,8005BD570,Savings Bank of Seattle,Partnership #926,True
C_000127,CLIENT,8005C1970,Plandor Savings Bank,Partnership #7228,True
C_000128,CLIENT,8005D13F0,Savings Bank of Los Angeles,Partnership #8162,False
C_000129,CLIENT,800619700,First Bank of Springfield,Partnership #10163,True
C_000130,CLIENT,80061BB00,Savings Bank of Seattle,Sole Proprietorship #14388,True
C_000131,CLIENT,80062C960,Golden Bancorp,Corporation #54398,True
C_000132,CLIENT,80063CFF0,Spain Bank #23,Sole Proprietorship #28010,False
C_000133,CLIENT,8006457A0,First Bank of Springfield,Partnership #1980,False
C_000134,CLIENT,8006A4A30,Savings Bank of Los Angeles,Sole Proprietorship #3353,True
C_000135,CLIENT,8006A6CF0,Savings Bank of Topeka,Partnership #1120,True
C_000136,CLIENT,8006BF850,France Bank #51,Sole Proprietorship #22402,True
C_000137,CLIENT,8006D7690,Savings Bank of Seattle,Partnership #1157,True
C_000138,CLIENT,8006FA4B0,Arbor Savings Bank,Corporation #851,True
C_000139,CLIENT,80070AA30,Germany Bank #65,Sole Proprietorship #22407,True
C_000140,CLIENT,80071C080,National Bank of Laramie,Sole Proprietorship #7887,True
C_000141,CLIENT,8007354D0,National Bank of New Orleans,Partnership #11938,True
C_000142,CLIENT,800750120,National Bank of Laramie,Corporation #5542,True
C_000143,CLIENT,80079AE10,China Bank #6,Corporation #9086,True
C_000144,CLIENT,80079B220,China Bank #6,Sole Proprietorship #29351,False
C_000145,CLIENT,80079FA80,China Bank #14,Sole Proprietorship #29291,False
C_000146,CLIENT,8007A1C40,China Bank #13,Corporation #28221,True
C_000147,CLIENT,8007C1440,China Bank #14,Sole Proprietorship #29293,True
C_000148,CLIENT,8007C2A40,China Bank #13,Partnership #30760,False
C_000149,CLIENT,8007C31A0,China Bank #14,Sole Proprietorship #29296,False
C_000150,CLIENT,8007C6170,China Bank #30,Partnership #22504,False
C_000151,CLIENT,8007C6E70,China Bank #13,Corporation #28901,False
C_000152,CLIENT,8007C7750,China Bank #3,Partnership #30394,False
C_000153,CLIENT,8007EF950,Germany Bank #18,Partnership #23456,True
C_000154,CLIENT,8007F79F0,Finland Bank #0,Sole Proprietorship #22421,True
C_000155,CLIENT,80081F5E0,First Bank of Arkadelphia,Sole Proprietorship #15125,True
C_000156,CLIENT,80082C6C0,Arbor Thrift,Sole Proprietorship #150,True
C_000157,CLIENT,800836F80,First Bank of Arkadelphia,Partnership #1384,True
C_000158,CLIENT,80087EA60,National Bank of Pittsburgh,Corporation #1085,True
C_000159,CLIENT,80088E940,Brownstone Trust Bank,Partnership #13354,True
C_000160,CLIENT,800893E40,Spain Bank #437,Corporation #40461,False
C_000161,CLIENT,8008B1F80,Italy Bank #95,Partnership #11661,True
